country,life_expectancy_at_birth_2023,population_2023_thousands_under18,among5_14_mortality_rate_2022,completion_rate_2000_2023_primary,basic_sanitation_household_perc_2022,stunted_perc_2022,pm25_latest,internet_latest,gdp_latest,happiness_rank,life_expectancy_at_birth_2023_raw,among5_14_mortality_rate_2022_raw,completion_rate_2000_2023_primary_raw,basic_sanitation_household_perc_2022_raw,stunted_perc_2022_raw,pm25_latest_raw,internet_latest_raw,gdp_latest_raw,happiness_rank_raw,child_wellbeing_index,iso3,pop_millions
Afghanistan,-1.0153690214105329,20782.648,NA,-2.057814097312668,-0.8504572242369207,-1.2837302139628781,-1.4428228478556533,-1.9259269857187304,-0.6098261821068477,-1.7054701500497609,66.0346,NA,44.242259979248,55.95194128781142,33.1,46.0870936659706,17.7089,413.757894705303,137,-1.3614270903317491,AFG,20.782648000000002
Albania,0.9044930935795628,579.388,0.5909829968725986,0.6294462769967711,0.7745923362305724,0.6803585954632526,0.539486864364723,0.4987312692249263,-0.3234438990372085,-0.3713988593300058,79.6019,1.76472918558011,97.4305725097656,99.29926613481855,8.3,15.7070036417042,83.1356,10011.6279856667,83,0.4359165193739103,ALB,0.579388
Algeria,0.43173378701374504,16342.422,0.43261194729779057,0.4588288161710689,0.26950338317716654,0.6565994566395494,-0.10294480527430638,0.26794537779739586,-0.4541481788058673,-0.32198881152557046,76.261,2.68324019577634,94.053581237793,85.82628939782464,8.6,25.5526558310447,76.9081,5631.17999109851,81,0.18201566361010801,DZA,16.342422
Andorra,1.5325983149431746,12.437,0.7684921461227772,NA,0.8008621755721442,NA,0.9718824712695266,0.9549294745196518,0.848956390059266,NA,84.0406,0.735222161192805,NA,100,NA,9.08028059086901,95.4456,49303.6733899464,NA,0.97962016208109,AND,0.012437
Angola,-1.2159687379502973,18792.424,-1.716181504000249,-1.2639178449441344,-0.9919658081179303,-2.1153000727924898,-0.07636068616836428,-0.923506474373638,-0.558852972756921,NA,64.617,15.1456848720839,59.9556617736816,52.17727576169328,43.6,25.1452381976267,44.7581,2122.08368991872,NA,-1.107756762638003,AGO,18.792424
Anguilla,0.8633995850558968,3.17,0.6368626239361866,NA,NA,NA,NA,NA,NA,NA,79.3115,1.49863924859515,NA,NA,NA,NA,NA,NA,NA,0.7501311044960417,AIA,0.00317
Antigua and Barbuda,0.6208714712173647,20.855,0.5212191511078273,NA,0.7035300770542567,NA,0.2790556021734247,0.29268236415273496,0.08576075757115956,NA,77.5976,2.16934139608583,NA,97.40371851103296,NA,19.6982695582914,77.5756,23725.7903725506,NA,0.417186570546128,ATG,0.020855000000000002
Argentina,0.5921597877481786,12232.291,0.6091984274368067,0.5723257826394161,NA,0.5853220401684398,0.5916107440974746,0.7407868498669269,-0.2086693495928536,0.39445688163874243,77.3947,1.65908441291737,96.3,NA,9.5,14.9081737974407,89.6672,13858.2039802008,52,0.4846488955003915,ARG,12.232291
Armenia,0.34990053639654267,686.709,0.5558299327613968,0.7405690793470537,0.5751674435832831,0.767475437816831,-0.430956558985122,0.3824025798325508,-0.3685299591637639,-0.2725787637211351,75.6827,1.96860783963311,99.63,93.97971415655475,7.2,30.5796334750125,79.9966,8500.60522486719,79,0.25547552531862633,ARM,0.6867089999999999
Australia,1.5159288407555442,5738.75,0.7586391345162413,0.7375376685955646,0.8008621755721442,1.068424529583738,1.0259464565570533,1.014872658684089,1.2996255279144224,1.3826578377274499,83.9228,0.792367072895367,99.57,100,3.4,8.25171746070811,97.0631,64407.484256932,12,1.0671660922118051,AUS,5.73875
Austria,1.2375995641880613,1566.707,0.7649809458094784,0.7082340313311714,0.7998262453539337,NA,0.8509584729646977,0.9354400645956475,1.0736230992952094,1.4073628616296676,81.9559,0.755586212295756,98.99,99.97236711742214,NA,10.9335136815146,94.9197,56833.1960472053,11,0.9722531606459833,AUT,1.566707
Azerbaijan,0.17243714438714752,2761.092,0.3683467380478284,0.6552954801058561,NA,0.28437294840153265,0.14668035224446774,0.7160609812582641,-0.404836061598426,NA,74.4286,3.05596174069969,97.9421997070312,NA,13.3,21.7269999756599,89,7283.83562954872,NA,0.27690822612095295,AZE,2.761092
Bahamas,0.1898707540638536,90.37,0.5189055729366638,NA,NA,NA,NA,NA,NA,NA,74.5518,2.18275954939648,NA,NA,NA,NA,NA,NA,NA,0.3543881635002587,BHS,0.09037
Bahrain,1.1424505451408424,349.061,0.5935045281584548,NA,0.8008621755721442,0.9417091225239878,-2.2524464555336063,1.1237116927320236,0.2744100282951279,0.6415071206609193,81.2835,1.75010495814188,NA,100,5,58.4950629834781,100,30048.2177718844,42,0.4082135946937367,BHR,0.34906099999999995
Bangladesh,0.20692229599602283,58954.927,0.1036584046242209,-0.11941546750357303,-0.7251219871264071,-0.7531094469001732,-1.201023707487261,-0.9329713827109469,-0.5447893062422537,-1.236074695907625,74.6723,4.59108542127639,82.608528137207,59.29519146920475,26.4,42.3813762359965,44.5027,2593.41607390407,118,-0.5779916992508884,BGD,58.954927000000005
Barbados,0.42001704284790775,60.267,0.6192336298200692,0.6811940225826468,0.7293504203918887,0.8625119931116437,0.015921000239553486,0.3822432254635202,0.13469539082959434,NA,76.1782,1.60088284196535,98.4548034667969,98.0924623115578,6,23.7309657842996,79.9923,25365.7949424181,NA,0.48064584066085303,BRB,0.060267
Belarus,0.17318712921901758,1812.248,0.7199139774274136,0.7592627789812358,0.7843169099530839,1.0525851037012692,0.6111325488535257,0.9110588461339574,-0.37401890175646285,NA,74.4339,1.01696293971044,100,99.55866391960187,3.6,14.6089903841381,94.2618,8316.64776291533,NA,0.57967979906413,BLR,1.812248
Belgium,1.2601132598014049,2315.114,0.7689678545673432,0.643058700174159,0.781600946579193,1.1476216589960822,0.8325218214660872,0.9671664076949825,1.047407772729759,1.2591327182163614,82.115,0.732463175600739,97.7,99.48621705428488,2.4,11.2160664677018,95.7758,55954.6106261018,17,0.967510126691708,BEL,2.315114
Belize,0.050316972706971566,134.179,0.5215582148348249,0.5664402899076648,0.3604063756331586,0.3873292166375799,-0.3051653219254878,0.09937810268743716,-0.370646245696411,NA,73.5656,2.16737491441357,96.1835098266602,88.25107793314866,12,28.6518070195516,72.3595,8429.67959707387,NA,0.16370220059821727,BLZ,0.134179
Benin,-1.759806795657427,6831.547,-2.191062457270956,-1.6671829520492427,-2.2172490947772387,-1.0698979645495492,-1.7665119582064377,-1.3885914651784914,-0.577851000472631,-1.1866646481031895,60.7738,17.8998712292665,51.9739303588867,19.49350171042671,30.4,51.0478241974862,32.2083,1485.38018980894,116,-1.5360909262516849,BEN,6.831547
Bhutan,-0.033214356774845126,209.184,-0.31083554525308177,-0.8643624415479684,-0.026143246089571675,-0.4600800680745006,0.0019122943980427293,0.6947890259504517,-0.5076112258429601,NA,72.9753,6.99504282159779,67.8639678955078,77.9400742382936,22.7,23.9456576369223,88.426,3839.4093039286,NA,-0.18819319540430415,BTN,0.209184
Bolivia (Plurinational State of),-0.6549800837105644,4401.114,0.2392648933869132,0.6945926829494712,-0.3758226769753481,0.4586066331086895,NA,NA,NA,NA,68.5814,3.80460295925451,98.72,68.61256309545696,11.1,NA,NA,NA,NA,0.07233228975183228,BOL,4.401114
Bosnia and Herzegovina,0.6566443326319044,518.65,0.6969832323015279,0.7461095973872721,NA,0.7041177342869558,-0.17141176851485088,0.6086227832915753,-0.3549008747532092,-0.0749385725033936,77.8504,1.14995531380076,99.7396621704102,NA,8,26.6019532713554,86.1009,8957.37294188215,71,0.35140330801597275,BIH,0.51864999999999994
Botswana,-0.5726657107483881,948.181,-0.26089187521537444,0.4193422889224559,0.07173098488754309,-0.3729632257209224,0.3307674081433276,0.43292903256194387,-0.3925604720245741,-1.5819450305386724,69.1631,6.70538248947015,93.2720336914062,80.55081681964325,21.6,18.9057549925814,81.36,7695.2420641819,132,-0.21402851108140677,BWA,0.948181
Brazil,0.3733198740710157,51043.668,0.4936763908085399,0.6142602980350135,0.45909332602837005,0.767475437816831,0.7696689086879042,0.5479421219309267,-0.3154267910254547,0.46857195334539553,75.8482,2.32908226194491,97.13,90.88349936878234,7.2,12.1793252040724,84.4635,10280.3148624429,49,0.46428683552206024,BRA,51.043668
British Virgin Islands,0.5753346563312927,7.495,0.4459454348406221,NA,NA,NA,NA,0.2974518774769783,NA,NA,77.2758,2.6059094263883398,NA,NA,NA,NA,77.7043,NA,NA,0.43957732288296436,VGB,0.007495
Brunei Darussalam,0.29951004608911463,115.302,0.5793224114975102,NA,0.7813988188613216,0.47444605899115827,1.0686496677712534,1.0878977247712749,0.37495305371487236,NA,75.3266,1.83235755630258,NA,99.4808254058944,10.9,7.59726503432135,99.0336,33417.8357740437,NA,0.6665968259566436,BRN,0.115302
Bulgaria,0.34333463145336873,1191.14,0.6232638449467703,0.708486648893796,0.27810987258987957,0.8941908448765814,0.44549904218322883,0.47291586144196057,-0.10261852197892653,-0.22316871591669973,75.6363,1.57750863956363,98.995,86.05586288372982,5.6,17.1474236131426,82.439,17412.4115085691,77,0.38222372316555103,BGR,1.19114
Burkina Faso,-1.714779404430739,11384.933,-1.8959316627136449,-1.2485097000607515,-2.0199445872350035,-0.3888026516033911,-2.250855210980573,-1.9513606841991342,-0.5927121330205645,-0.8902043612765773,61.092,16.1881891700982,60.2606315612793,24.75649355404262,21.8,58.4706762025055,17.0226,987.321378101867,104,-1.439233377280042,BFA,11.384933
Burundi,-1.3526499358945414,7183.364,-2.3088910448845485,-1.7598183858336394,-1.2351418769187668,-3.136943042211727,-0.37056748217297897,-2.171647716848436,-0.6175789483556245,NA,63.6511,18.5832464757495,50.1404190063477,45.69068464117658,56.5,29.6541345084659,11.0784,153.930217854023,NA,-1.6191548041400328,BDI,7.183363999999999
Cabo Verde,0.4031070074877904,166.679,0.5963581876314623,NA,0.16524688512500826,0.5932417531096742,-1.1971834573754825,0.1430893767041009,-0.46483999223850336,NA,76.0587,1.7335544733636,NA,83.04530326766736,9.4,42.3225220905558,73.539,5272.85253011419,NA,0.03414568006343575,CPV,0.166679
Cambodia,-0.35978322375457894,6238.979,0.17380966047180854,-0.13416485473539433,-0.07190446304481907,-0.4284012163095631,-0.011003651171104408,-0.33207941033638977,-0.5437609769262127,-1.1619596242009718,70.6675,4.18422633277445,82.3165969848633,76.71941833646201,22.3,24.1436022803452,60.7171,2627.8796974226,115,-0.31880530666746953,KHM,6.2389790000000005
Cameroon,-1.3457868671500592,13739.645,-2.580349382958553,-0.5553661711227957,-1.3315456648642487,-0.7927080116063452,-1.033411948595176,-1.0290991263920182,-0.5695861978445195,-0.6925641700588357,63.6996,20.1576344273351,73.9798583984375,43.11916533849597,26.9,39.8126251004519,41.9088,1762.3683508844,96,-1.1033797267325056,CMR,13.739645000000001
Canada,1.3330174457221784,7293.189,0.7443534716586556,0.7471371359752803,0.7479410806758742,NA,1.1359615475411886,0.8997409800172226,0.9975186646180607,1.3579528138252321,82.6302,0.875220212139391,99.76,98.5883581968614,NA,6.56566994375263,93.9564,54282.6176051733,13,0.9954528925042115,CAN,7.293189
Central African Republic,-2.2361320678389345,2927.732,-3.0536678474545504,-2.9266598365620538,-2.428957491943859,-1.8143509810255825,-0.6824171495223911,-2.303920737341218,-0.6067703859947524,NA,57.4077,22.9027587548934,27.0454006195068,13.84629384177521,39.8,34.4334184466457,7.50916,516.170424537757,NA,-2.006609562210418,CAF,2.927732
Chad,-2.567045186580639,10344.386,-2.857792193577104,-2.9337705838339607,-2.4636058893596635,-1.2203725104330025,-1.641950732899042,-2.093645606165712,-0.5918537673851656,-1.137254600298754,55.0692,21.7667307674623,26.9046592712402,12.92206643680978,32.3,49.1388484128027,13.1832,1016.08880662712,114,-1.9452545633925604,TCD,10.344386
Chile,1.125922577525264,4138.196,0.6717331354032232,0.7198544392118793,0.8008621117029144,1.2109793625259573,0.045668541273980186,0.9183076169670731,-0.12358045251614654,0.8144422879764431,81.1667,1.29639932659149,99.22,99.99999829632257,1.6,23.2750668049145,94.4574,16709.8893972307,35,0.6871321800078432,CHL,4.138196
China,0.6711487562671521,285792.681,0.5918050838137683,0.6460535997935498,0.6468707513317213,0.9733879742889253,-0.7070233780104896,0.827238448023835,-0.22523116519581882,0.0979965948121302,77.9529,1.75996129454933,97.75927734375,95.89236140694527,4.6,34.8105237153218,92,13303.1481543868,64,0.3913607405694193,CHN,285.79268099999996
Colombia,0.6388428058678651,13147.024,0.4556400836857701,0.47279446296552846,0.6033316197006755,0.45068692016745515,0.6389121355184094,0.2838363437137546,-0.3860335067591253,-0.0996435964056113,77.7246,2.54968297762664,94.33,94.73097843852392,11.2,14.1832514905064,77.3369,7913.98801464547,72,0.33981858538385795,COL,13.147024
Comoros,-0.910342843634141,370.73,0.021122150003535626,-0.17456184750359022,NA,-0.1512112633663592,0.785723925140931,-1.260385316419994,-0.568937305000233,-1.5325349827342372,66.7768,5.06977429031523,81.5170288085938,NA,18.8,11.9332724091044,35.6678,1784.11546860293,130,-0.473890935439261,COM,0.37073
Congo,-1.052528647231174,2931.506,-0.18950261120401282,-0.2338045514141449,NA,0.03094213428203201,NA,NA,NA,NA,65.772,6.29134327472549,80.3444519042969,NA,16.5,NA,NA,NA,NA,-0.3612234188918249,COG,2.9315059999999997
Cook Islands,0.2931705516612221,4.284,0.585677064437292,NA,0.2550154471335512,NA,NA,NA,NA,NA,75.2818,1.7955022174838,NA,85.43983147966453,NA,NA,NA,NA,NA,0.3779543544106884,COK,0.004284
Costa Rica,1.0739613642680659,1202.953,0.6173136420767844,0.6647838105598295,0.7402657004979594,0.5853220401684398,0.6308002352310961,0.5824664312771954,-0.06756645206634909,1.1109025748030554,80.7995,1.61201827288144,98.13,98.38362155005991,9.5,14.3075712471404,85.3951,18587.1532203614,23,0.6598054829795641,CRI,1.202953
CÃ´te d'Ivoire,-1.5942441063575357,14912.539,-1.9477812602314128,-1.001236785896397,-1.5623687308162246,-0.26208724454364063,NA,NA,NA,NA,61.9438,16.4889033872621,65.1548461914062,36.9620839390068,20.2,NA,NA,NA,NA,-1.2735436255690422,CIV,14.912539
Croatia,0.7599299795720672,673.554,0.6755112170357965,0.7484002237884002,NA,NA,0.512482662521841,0.5171422577213051,0.09189733640767,0.4932769772476132,78.5803,1.27448743305883,99.785,NA,NA,16.1208592960264,83.6324,23931.4528382746,48,0.5426629506135277,HRV,0.673554
Cuba,0.6899125277211393,2052.766,0.5287708642488299,0.7420086479110171,0.5065510863632957,0.7833148636992998,0.1786709839412197,0.05918744845168363,-0.3355691135096103,NA,78.0855,2.1255434185863,99.6584930419922,92.14940965471702,7,21.2367242811561,71.275,9605.26125067263,NA,0.39410591360335934,CUB,2.052766
Cyprus,1.1940296906534997,255.4,0.6973048517096094,0.6392694367347976,0.7782478853502173,NA,0.68292669313699,0.7983730717359342,0.5311952985690986,0.5426870250520486,81.648,1.14809000465361,97.625,99.39677594561955,NA,13.508701890821,91.2211,38654.16796875,46,0.7330042441177744,CYP,0.2554
Czechia,0.9373509196098496,2043.093,0.7439645643485838,NA,0.768485074104695,1.1397019460548476,0.6436219244911001,0.6674319572950034,0.32389371499995007,1.234427694314144,79.8341,0.87747577366535,NA,99.13635819543234,2.5,14.1110711384133,87.6878,31706.6234229743,18,0.8073597244022717,CZE,2.0430930000000003
Democratic People's Republic of Korea,0.061099773497272164,5999.844,0.24379360018956023,NA,0.2297181194236292,0.007182995458328759,NA,NA,NA,NA,73.6418,3.7783376344281,NA,84.76503884030176,16.8,NA,NA,NA,NA,0.13544862214219758,PRK,5.999844
Democratic Republic of the Congo,-1.6011496270736338,55606.594,-2.4043361583671357,-0.9244419873903704,-2.341676308924309,-1.8539495457317545,NA,NA,NA,NA,61.895,19.1368033779646,66.6748275756836,16.17447255423928,40.3,NA,NA,NA,NA,-1.8251107254974406,COD,55.606593999999994
Denmark,1.234330762373679,1153.014,0.78871814479804,0.7299591417168426,0.7857626867650342,NA,0.9725637702680843,1.1151584396221923,1.5217485175365577,1.6297080767496268,81.9328,0.617916614975105,99.42,99.59722924009945,NA,9.06983927345931,99.7692,71851.7562131368,2,1.0972436924787572,DNK,1.153014
Djibouti,-1.022175487526194,409.978,-1.1560156135015387,-0.19895977936744,-0.43982957462763983,-0.14329155042512468,-0.7796995936359186,-0.1724396858077068,-0.5178438524035807,NA,65.9865,11.8968679996769,81.0341262817383,66.90521345364982,18.7,35.9243304831101,65.0248,3496.47111876763,NA,-0.5537818921618929,DJI,0.409978
Dominica,-0.29398266775077764,14.649,0.5102037954617228,NA,NA,NA,0.2158260954623677,0.524298380665449,-0.31169810424076705,NA,71.1325,2.23322760173603,NA,NA,NA,20.6672998234563,83.8255,10405.2787777582,NA,0.12892949991959896,DMA,0.014648999999999999
Dominican Republic,0.07217973808888008,3631.019,0.37065637221276726,0.4237866558164569,0.3765534276938807,0.8941908448765814,0.2706726050641127,0.7902608225776062,-0.29766276356210614,-0.12434862030782898,73.7201,3.04256646160217,93.36,88.68179188060286,5.6,19.8267440369685,91.0022,10875.6618443092,73,0.3084765647178167,DOM,3.6310189999999998
Ecuador,0.59183432263246,5441.596,0.4095467594005957,0.7102549718321644,0.5111656660944826,-0.4600800680745006,0.4774979504060973,0.27775123036611926,-0.41704372338146534,-0.14905364421004666,77.3924,2.81701230306929,99.03,92.2725010923607,22.7,16.6570210758922,77.1727,6874.705739766,74,0.21687482945176742,ECU,5.441596
Egypt,-0.2230878751531313,43582.614,0.2713077513195018,0.44045941494964613,0.708217387820237,-0.2779266704261094,NA,NA,NA,-1.310189767614278,71.6335,3.61876269433075,93.69,97.52875000999437,20.4,NA,NA,NA,121,-0.06520329318402229,EGY,43.582614
El Salvador,-0.15717411389168728,1927.598,0.26105811035941373,0.2888888773751978,0.33422799771403766,0.5457234754622678,0.25749397685588643,-0.0749370474543012,-0.4556854470581546,0.4438669294431778,72.0993,3.67820795340856,90.69,87.55278375232294,10,20.0287144500145,67.6558,5579.65969165029,50,0.16038475097842647,SLV,1.927598
Equatorial Guinea,-1.3447255678596752,800.501,-1.6601605017217962,-2.1594805395773906,NA,0.06262098604696949,-0.744120025804402,-0.3450871739479615,-0.42090195804042113,NA,63.7071,14.8207775892621,42.23,NA,16.1,35.3790521811967,60.3661,6745.40013244916,NA,-0.9445506829863825,GNQ,0.800501
Eritrea,-0.6489660543983883,1599.094,-0.30081800395265496,NA,NA,-2.6380011269139603,-0.5465727118899167,-1.8406353391317432,-0.6016229771553495,NA,68.6239,6.93694368034539,NA,NA,50.2,32.3515206386852,20.0104,688.68165957684,NA,-1.0961027022403356,ERI,1.599094
Estonia,0.8410415466718087,264.402,0.7292864118304554,0.746379283287408,0.7656307470162809,1.2426582142908948,1.163362561178709,0.8360585270539036,0.30788461788221116,0.9132623835853139,79.1535,0.962605251138896,99.745,99.06022055229147,1.2,6.14573290973003,92.238,31170.0915091887,31,0.8383960325329984,EST,0.26440199999999997
Eswatini,-1.2859154365152015,492.956,-0.949832912797801,-0.2668596149902938,-0.5329890723792949,-0.34128437395598465,0.3387693025516051,-0.4468553211096064,-0.5047258692202412,NA,64.1227,10.7010618140336,79.6902008056641,64.42023385065032,21.2,18.7831211422857,57.62,3936.10969242371,NA,-0.4987116623021023,SWZ,0.492956
Ethiopia,-0.8341840065561906,59470.308,-0.2578110411777717,-1.48152874072124,-2.598035973252995,-1.386686482198925,-0.2173071511535812,-1.9633863801876101,-0.5920034198927829,-1.384304839320931,67.315,6.6875144511404,55.6485404968262,9.336216098769436,34.4,27.3053276470482,16.6981,1011.07332413462,124,-1.1905831149402253,ETH,59.470307999999996
Fiji,-0.8340849519557535,302.606,0.04014057145642556,0.6803606498250866,0.5400787703377465,0.7753951507580654,0.7540432278856564,0.35838454109562873,-0.43453801689355825,NA,67.3157,4.95947237877312,98.4383087158203,93.04374263013115,7.1,12.4187981716598,79.3485,6288.39867264416,NA,0.23497249281366217,FJI,0.302606
Finland,1.2311327138453225,1024.87,0.7755991792237339,0.747642371100528,0.780166241865209,NA,1.2449614434812108,0.8833423036693011,0.9648758050265773,1.6544131006518445,81.9102,0.694003212587086,99.77,99.44794707605806,NA,4.89518090216668,93.5139,53188.6186245158,1,1.035266644857966,FIN,1.02487
France,1.4313786639549593,13624.729,0.7710551428309074,0.7155599406472702,0.7501018794844031,NA,0.9379457390473795,0.7032311015935174,0.7548712949043008,1.1603126226074907,83.3253,0.72035744506044,99.135,98.6459963453591,NA,9.60038144780495,88.6538,46150.4876861593,21,0.9030570481337785,FRA,13.624728999999999
Gabon,-0.6896067418914915,1052.273,-1.0578966965866798,-0.5739470686275749,-1.077479852510263,0.2764532354602983,-0.390190785982111,0.08329813507757698,-0.3769395957637656,-0.6431541222544004,68.3367,11.3278037310698,73.6120910644531,49.89623452367131,13.4,29.9548734558765,71.9256,8218.76307061848,94,-0.49438483256426785,GAB,1.052273
Gambia,-1.0400336169190554,1282.483,-0.7192127057232847,-1.0711682085306775,-1.1592150445971274,0.2606138095778296,NA,NA,NA,-1.2607797198098425,65.8603,9.36352442989434,63.7707099914551,47.71599214275427,13.6,NA,NA,NA,119,-0.8316325810003596,GMB,1.282483
Georgia,0.1820454406294225,938.672,0.6098131914907344,0.7545227305077422,0.28568849076613967,0.9575485484064565,0.45225776566782505,0.45235914783700665,-0.3478504067101252,-0.5443340266455297,74.4965,1.65551894085842,99.9061813354492,86.25801845607019,4.8,17.0438421058507,81.8843,9193.66366361489,90,0.3113389868832969,GEO,0.9386720000000001
Germany,1.1557804642280645,14058.694,0.7629736586805288,0.680951334567771,0.7718532972578498,1.1713807978197852,0.8930986930664647,0.8828271814066203,1.0428010323109231,1.2838377421185792,81.3777,0.767227957005508,98.45,99.2262037402876,2.1,10.2876894329414,93.5,55800.2194549412,16,0.9606115779396207,DEU,14.058694
Ghana,-1.0913155986304055,14333.982,-0.7862474026543893,-0.6836088243703913,-1.8764592780323468,0.33189122604893917,-1.974984230757701,0.009880241941152963,-0.5503875741157103,-0.9643194329832303,65.4979,9.75230828503513,71.4415817260742,28.58388716718974,12.7,54.2427873097724,69.9445,2405.79466378083,107,-0.8428389859504536,GHA,14.333982
